True_Energy,mean,mean_error,trap_energy,True_T,sig,sig_error
9,71.28210526315789,0.9906941078413628,8.154398344440326,128,52.888592566242885,0.700649453477367
9,68.7576289021396,0.9729571298378342,8.18586952854945,124,51.95080883497378,0.6881052727762332
9,66.44701754385964,0.9561629805562254,8.216772698477508,120,51.04513482547156,0.6762279743661144
14,47.666548797736915,1.1030309406226266,13.39871478307629,84,58.65801974057363,0.7800985942473195
14,49.55128657032076,1.0921146256386107,13.367317657940541,88,58.16984293127569,0.7723777954208566
14,46.54795486600846,1.11128796860125,13.4272537541009,80,59.18064930204623,0.7859378351643463
14,50.94358794674142,1.0890101812686754,13.333253184853113,92,58.178018367628354,0.7701814259504656
14,52.74605954465849,1.0678583614893793,13.257998324502276,100,57.058021574349574,0.7552221634155344
14,53.554698457223004,1.058646535910833,13.217376292242585,104,56.53608631453553,0.7487074159961001
14,56.67041067041067,1.0643271492155353,13.11706726319089,114,56.809552078041044,0.7527250595854301
14,55.64676792652773,1.0590725097222322,13.161104646279659,110,56.35022181309052,0.7490096521931704
14,58.423467600700526,1.0789947430334064,13.025059867511066,120,57.65306294061565,0.7630981537768129
14,63.83064516129032,1.0938079322550203,12.943437881911436,134,58.41384973341285,0.7735746377803959
14,62.13183730715288,1.0903837087444064,12.976989668114395,128,58.23098209120235,0.7711529215139566
14,59.826970227670756,1.0870759589783763,13.000119617122952,124,58.08486008746944,0.7688134373847215
19,41.27100840336134,0.9929221455405339,18.250399168481916,92,53.06330530198207,0.7022249316037649
19,37.38524011299435,0.9987093467127981,18.377659790212903,80,53.14785468188701,0.7063188656949182
19,38.196334155798375,0.993092724995122,18.338928329536675,84,52.89559032814813,0.7023463943921614
19,39.784058988764045,0.9954355911929142,18.296317945423876,88,53.123069020683424,0.7040028636265849
19,49.45909732016925,1.014927952938281,18.019314572455553,110,54.04908263812596,0.7177889986374113
19,50.229422066549915,1.0177875041792939,17.983353207087273,114,54.38262551090503,0.7198105184394612
19,46.23904661759551,1.0002379419804779,18.095683234833785,104,53.426190753853646,0.7073990170310432
19,44.734872332983564,0.9952209573351166,18.150116530087995,100,53.21408395767511,0.7038505923188844
19,58.06661991584853,1.0707094200617389,17.827719201765333,134,57.180294023552484,0.7572386589707106
19,55.49282966072053,1.0582884950611673,17.872348398536694,128,56.58628107915094,0.7484538771044429
19,54.25603357817419,1.0519131125756103,17.903692032885733,124,56.24539181596948,0.7439450123084941
19,52.37359943977591,1.0381948693115295,17.93266671886873,120,55.48275014375749,0.7342431875127379
24,32.20956399437412,0.7973552567428027,23.226579719053888,88,42.5222912495917,0.5639144588533059
24,29.463594794231447,0.7947886914617953,23.328065826324995,80,42.37796608105204,0.5620993387626136
24,33.26993006993007,0.7930422666691872,23.169420830454136,92,42.411081865829296,0.5608636261834056
24,30.52127659574468,0.803413361821769,23.27914336239169,84,42.66419979877267,0.5681997898164853
24,36.76517794836008,0.8162075858182429,23.043213975237034,100,43.69570188405265,0.5772466335464103
24,38.56617647058823,0.8193016566638454,22.975539280793303,104,43.78475607300124,0.5794352078837114
24,43.56422821141057,0.84230956816496,22.90788908974519,114,45.02221465492056,0.5957070705820787
24,41.952982456140354,0.8339362324818358,22.93587344782579,110,44.52001205706368,0.5897854452738247
24,45.78960223307746,0.8571586900628487,22.84386405199546,120,45.88802069361285,0.6062084901573225
24,49.37630662020906,0.8804462036207469,22.7683742438568,128,47.16759942099485,0.6226779709840979
24,52.02239328201539,0.8951332912798238,22.7120005216192,134,47.85406351577671,0.6330655832705918
24,47.50923666782851,0.8719427280179383,22.80726444864843,124,46.703909290192314,0.6166640953694902
28,28.606706252183024,0.7155942154590494,27.104638160032003,92,38.28930604582916,0.5060899145948689
28,27.418629173989455,0.7135091733180295,27.171323530064964,88,38.05753858913556,0.5046158673730955
28,26.01060820367751,0.70539154272096,27.232647780625786,84,37.511976784988285,0.49887535390435733
28,24.745146487822097,0.6999815225652923,27.288390655214585,80,37.25716999136801,0.49504906090078105
28,31.649912739965096,0.7243697100929077,26.95939682894539,100,38.77239199893061,0.5122961478552436
28,33.43283058575938,0.7386670180384611,26.91885326219833,104,39.44094541268452,0.5224080839233676
28,37.8591893780573,0.7588418232728347,26.847517795871468,114,40.59626451146571,0.5366759661795419
28,36.426501766784455,0.7570791743082068,26.880166213632187,110,40.27490433960688,0.5354304254218176
28,43.80892608089261,0.7863265467285458,26.685194920112806,128,42.11070491504785,0.5561137933695176
28,40.14878048780488,0.7736978692030858,26.77282191849681,120,41.44883698444342,0.5471823461432267
28,41.66341123125218,0.7835181058880913,26.730438890655197,124,41.95298659217891,0.5541276132122228
28,47.10951714485654,0.802056857909907,26.619425577502355,134,42.87817266499884,0.5672390888768615
33,21.07774607703281,0.46480824283881106,32.174528303418384,84,24.61290218809989,0.3287276833224569
33,23.75034965034965,0.4680983476684413,32.02558547959274,92,25.033416475526973,0.33105339742667106
33,22.452069331446765,0.46492887541361644,32.10248677465055,88,24.720054509237176,0.3288125214524482
33,19.88249911253106,0.4537802312833146,32.24006928904814,80,24.084575473133583,0.3209280464995528
33,31.88714185883997,0.5325649732899365,31.772053678529414,114,28.49098173315443,0.37664611099195644
33,27.828410689170184,0.5038164163223618,31.856127620986044,104,26.86810955345018,0.35631465318536143
33,26.354973821989528,0.4900714971206293,31.885824767300562,100,26.231417367557697,0.3465933716587201
33,30.322535211267606,0.5197574985399862,31.810532170890273,110,27.69873489348321,0.3675887738214641
33,40.15662228451296,0.5937077060239171,31.504289691845507,134,31.717552709950485,0.41988831278930594
33,33.385714285714286,0.549963772058451,31.684019251623557,120,29.46286870206805,0.3889508800104135
33,37.3083362399721,0.5737978892601372,31.581220765432903,128,30.7236488523334,0.4058071567874458
